wav_filename,wav_filesize,transcript
toflg_1.wav,68078,turn off the light
toflg_2.wav,96078,turn off the light
toflg_3.wav,80078,turn off the light
toflg_4.wav,104078,turn off the light
toflg_5.wav,88078,turn off the light
toflg_8.wav,88078,turn off the light
tonlg_1.wav,72078,turn on the light
tonlg_2.wav,76078,turn on the light
tonlg_3.wav,60078,turn on the light
tonlg_4.wav,76078,turn on the light
tonlg_5.wav,88078,turn on the light
what_time_10.wav,80078,what time is it
what_time_11.wav,80078,what time is it
what_time_1.wav,60078,what time is it
what_time_2.wav,56078,what time is it
what_time_3.wav,60078,what time is it
what_time_4.wav,52078,what time is it
what_time_5.wav,72078,what time is it
what_time_6.wav,80078,what time is it
what_time_7.wav,84078,what time is it
unz_en_gen_1583240232402.wav,168014,today it was a great day
unz_en_gen_1583240280959.wav,184398,how about going out for dinner
unz_en_gen_1583240307075.wav,188494,wow that sounds great
unz_en_gen_1583240341386.wav,135246,can you help me please
unz_en_gen_1583240703619.wav,57422,change the colour to red
unz_en_gen_1583240703619.wav,57422,turn off the light
unz_en_gen_1583240730446.wav,192590,turn off the light
unz_en_gen_1583240973717.wav,139342,change the colour the green
unz_en_gen_1583241065723.wav,143438,it was a wonderful day
unz_en_gen_1583241182789.wav,143438,we do not have time to do it
unz_en_gen_1583241196623.wav,213070,by the way how close are we
unz_en_gen_1583241216549.wav,139342,this got nothing to do with it
unz_en_gen_1583241231705.wav,98382,am i the only person
unz_en_gen_1583241243949.wav,172110,play music from raga station
unz_en_gen_1583241253457.wav,102478,call my brother
unz_en_gen_1583241257608.wav,118862,call my brother
unz_en_gen_1583241265624.wav,65614,call my dad
unz_en_gen_1583241269136.wav,53326,call my dad
unz_en_gen_1583241282972.wav,135246,thats not going to do better
unz_en_gen_1583241306517.wav,86094,turn off the fan
unz_en_gen_1583241312607.wav,77902,turn off the light
unz_en_gen_1583241319974.wav,147534,open the door
unz_en_gen_1583241326717.wav,73806,close the door
unz_en_gen_1583241330754.wav,98382,close the door
unz_en_gen_1583241339229.wav,53326,close the door
unz_en_gen_1583241345289.wav,65614,open the door
unz_en_gen_1583241348776.wav,65614,open the door
unz_en_gen_1583241351919.wav,49230,open the door
unz_en_gen_1583241354809.wav,69710,open the door
unz_en_gen_1583241364786.wav,65614,how are you doing
unz_en_gen_1583241368037.wav,73806,how are you doing
unz_en_gen_1583241371625.wav,53326,how are you doing
unz_en_gen_1583241381463.wav,127054,lets not wait now
unz_en_gen_1583241385432.wav,122958,lets not wait now
unz_en_gen_1583241389339.wav,110670,lets not wait now
unz_en_gen_1583241444356.wav,53326,play music
unz_en_gen_1583241449306.wav,53326,play music
unz_en_gen_1583241452495.wav,45134,play music
unz_en_gen_1583241458784.wav,57422,stop music
unz_en_gen_1583241462266.wav,36942,stop music
unz_en_gen_1583241465232.wav,53326,stop music
unz_en_gen_1583241468389.wav,45134,stop music
unz_en_gen_1583241474794.wav,41038,pause music
unz_en_gen_1583241477895.wav,36942,pause music
unz_en_gen_1583241480714.wav,41038,pause music
unz_en_gen_1583241483630.wav,32846,pause music
unz_en_gen_1583241492238.wav,24654,play next
unz_en_gen_1583241494868.wav,36942,play next
unz_en_gen_1583241497632.wav,32846,play next
unz_en_gen_1583241500689.wav,24654,play next
unz_en_gen_1583241556286.wav,57422,play previous
unz_en_gen_1583241560599.wav,32846,play previous
unz_en_gen_1583241564536.wav,32846,play previous
unz_en_gen_1583241567819.wav,45134,play previous
unz_en_gen_1583241571245.wav,32846,play previous
unz_en_gen_1583241574246.wav,28750,play previous
unz_en_gen_1583241600056.wav,32846,next song
unz_en_gen_1583241602974.wav,20558,next song
unz_en_gen_1583241605876.wav,69710,next song
unz_en_gen_1583241609072.wav,53326,next song
unz_en_gen_1583241625356.wav,57422,previous song
unz_en_gen_1583241628863.wav,77902,previous song
unz_en_gen_1583241651761.wav,53326,shuffle music
unz_en_gen_1583241654847.wav,28750,shuffle music
unz_en_gen_1583241790894.wav,49230,poweroff
unz_en_gen_1583241809380.wav,73806,poweron
unz_en_gen_1583241813870.wav,41038,poweron
unz_en_gen_1583241845132.wav,41038,next playlist
unz_en_gen_1583241848728.wav,65614,next playlist
unz_en_gen_1583241870581.wav,45134,change playlist
unz_en_gen_1583241874486.wav,53326,change playlist
unz_en_gen_1583241890351.wav,61518,previous playlist
unz_en_gen_1583241893605.wav,53326,previous playlist
unz_en_gen_1583241979035.wav,114766,play latest musics
unz_en_gen_1583241983016.wav,131150,play latest musics
unz_en_gen_1583242011551.wav,135246,play top ten songs
unz_en_gen_1583242015991.wav,122958,play top ten songs
unz_en_gen_1583242019618.wav,98382,play top ten songs
unz_en_gen_1583242042929.wav,139342,play tamil songs
unz_en_gen_1583242047297.wav,114766,play tamil songs
unz_en_gen_1583242051150.wav,114766,play tamil songs
unz_en_gen_1583241615295.wav,32846,next song
unz_en_gen_1583241632388.wav,61518,previous song
unz_en_gen_1583241635717.wav,65614,previous song
unz_en_gen_1583241639043.wav,73806,previous song
unz_en_gen_1583241618101.wav,36942,next song
unz_en_gen_1583241660577.wav,49230,shuffle music
unz_en_gen_1583241663429.wav,49230,shuffle music
unz_en_gen_1583241667102.wav,32846,shuffle music
unz_en_gen_1583241799976.wav,73806,poweroff
unz_en_gen_1583241823290.wav,8270,poweron
unz_en_gen_1583241856450.wav,65614,next playlist
unz_en_gen_1583241860100.wav,53326,next playlist
play_raga_9.wav,84078,play raga station
play_raga_15.wav,100078,play raga station
play_raga_16.wav,112078,play raga station
chg_bl_13.wav,100078,change colour to blue
chg_bl_14.wav,88078,change colour to blue
call_mom_12.wav,88078,call my mom
call_mom_13.wav,68078,call my mom
unz_en_gen_1583241880677.wav,36942,change playlist
play_fm91_8.wav,108078,play fm ninety one station
play_fm91_11.wav,136078,play fm ninety one station
play_fm91_12.wav,116078,play fm ninety one station
play_raga_123.wav,88078,play raga station
play_raga_14.wav,96078,play raga station
